99, 281
42, 161
2, 296
55, 193
53, 290
44, 13
50, 95
90, 224
43, 127
89, 113
27, 7
47, 136
0, 0
21, 75
51, 58
66, 105
58, 273
38, 24
7, 108
83, 44
62, 107
28, 294
76, 60
54, 227
29, 148
68, 171
88, 21
41, 62
57, 218
1, 167
74, 156
91, 91
39, 133
40, 210
96, 39
84, 129
98, 277
24, 72
45, 260
15, 164
36, 299
3, 168
17, 99
80, 198
38, 174
34, 286
49, 92
22, 103
56, 15
79, 19
4, 180
5, 216
30, 134
9, 85
25, 4
65, 56
73, 125
37, 203
70, 263
27, 230
23, 80
63, 74
34, 284
77, 200
19, 110
64, 144
32, 259
35, 246
12, 87
6, 34
16, 249
14, 184
75, 261
67, 18
85, 79
33, 159
48, 220
26, 8
71, 38
52, 137
68, 222
31, 162
69, 187
72, 63
46, 276
55, 32
94, 96
8, 54
13, 41
95, 188
61, 225
10, 275
59, 150
24, 14
78, 57
51, 28
92, 232
82, 267
93, 166
65, 172
40, 204
11, 116
89, 128
87, 226
84, 146
97, 53
20, 88
60, 285
90, 185
58, 50
68, 268
44, 111
47, 244
83, 214
76, 64
29, 191
53, 271
36, 282
25, 254
27, 157
62, 258
86, 245
6, 207
17, 102
43, 86
0, 298
75, 195
81, 213
66, 121
19, 170
79, 190
67, 25
30, 68
15, 158
18, 212
39, 236
69, 197
91, 82
1, 122
76, 119
77, 22
7, 241
48, 114
14, 117
82, 237
55, 124
95, 118
64, 269
28, 253
57, 295
98, 243
99, 29
3, 40
96, 61
97, 73
71, 160
70, 217
25, 265
50, 3
35, 11
88, 89
38, 177
54, 202
1, 199
80, 209
26, 147
41, 27
45, 76
92, 81
42, 239
9, 138
43, 45
12, 140
65, 48
93, 109
37, 235
46, 255
23, 16
49, 163
59, 35
21, 6
16, 291
74, 139
89, 248
2, 26
52, 201
29, 5
5, 112
95, 266
51, 287
78, 98
77, 31
61, 90
34, 205
56, 101
68, 131
0, 115
8, 51
13, 70
14, 223
24, 196
4, 20
1, 264
10, 93
15, 155
86, 43
63, 10
7, 256
75, 106
72, 242
85, 283
20, 219
32, 182
22, 23
31, 181
27, 238
6, 142
87, 55
82, 288
11, 12
17, 59
50, 67
44, 120
84, 250
33, 83
28, 78
73, 42
53, 278
83, 104
96, 252
39, 141
40, 292
77, 9
94, 289
26, 66
99, 145
18, 37
93, 126
69, 215
60, 17
19, 262
55, 154
9, 208
42, 94
66, 97
92, 233
62, 251
70, 1
64, 192
57, 240
95, 274
38, 69
43, 100
91, 280
76, 189
0, 272
79, 71
29, 173
71, 231
54, 279
80, 135
41, 77
46, 206
36, 229
2, 143
58, 152
74, 49
16, 30
47, 176
12, 169
45, 186
35, 149
3, 228
49, 46
90, 297
98, 211
26, 130
4, 2
37, 270
21, 123
48, 52
61, 84
59, 247
97, 194
1, 132
10, 257
30, 153
87, 183
65, 165
67, 47
89, 178
8, 293
51, 175
88, 151
